player_id,last_season,pretty_name,country_of_birth,country_of_citizenship,date_of_birth,position,foot,height_in_cm,market_value,Highest_value
395676,2017,Zachary Brault Guillard,Haiti,Canada,30/12/1998,Defender,Right,171,720000,720000
182909,2017,Louis Nganioni,France,France,03/06/1995,Defender,Left,177,113000,1130000
353396,2017,Dylan Mboumbouni,France,Central African Republic,20/02/1996,Defender,Right,182,225000,270000
243704,2017,Dorian Grange,France,France,10/05/1996,Goalkeeper,Right,184,,135000
190366,2017,Lucas Mocio,France,France,11/05/1994,Goalkeeper,Left,197,180000,180000
481176,2017,Valere Pollet,France,France,27/06/1997,Midfield,Right,177,225000,270000
344606,2017,Benjamin Verite,France,France,21/04/1999,Defender,Right,176,,90000
531338,2017,Scotty Sadzoute,Réunion,France,29/04/1998,Defender,Left,172,405000,540000
324799,2017,Ruben Droehnle,France,France,11/07/1998,Defender,Left,183,315000,315000
350193,2017,Dennis Van Der Heijden,Netherlands,Netherlands,17/02/1997,Attack,Right,191,158000,315000
442459,2017,Juul Respen,Netherlands,Netherlands,21/10/1998,Attack,Right,180,135000,135000
282431,2017,Gabri Salazar,Spain,Spain,18/06/1996,Attack,Right,179,90000,90000
209583,2017,Jason Cummings,Scotland,Scotland,01/08/1995,Attack,Left,178,360000,900000
61674,2017,Martyn Waghorn,England,England,23/01/1990,Attack,Left,177,900000,4500000
248325,2017,Aaron Nemane,France,France,26/09/1997,Attack,Right,170,,270000
62643,2017,Harry Forrester,England,England,02/01/1991,Attack,Right,179,90000,315000
16746,2017,Niko Kranjcar,Jugoslawien (SFR),Croatia,13/08/1984,Attack,Both,186,,11700000
147266,2017,Carlos Pena,Mexico,Mexico,29/03/1990,Attack,Right,175,180000,3600000
321169,2017,Jordan Thompson,Northern Ireland,Northern Ireland,03/01/1997,Midfield,Left,180,900000,900000
258353,2017,Abdelhak Nouri,Netherlands,Netherlands,02/04/1997,Midfield,Right,170,,2250000
477238,2017,Sergio Arribas,Spain,Spain,07/07/1995,Attack,Right,0,90000,135000
150788,2017,Yahia Al Shehri,Saudi Arabia,Saudi Arabia,26/06/1990,Attack,Left,164,45000,1440000
272679,2017,Jose Naranjo,Spain,Spain,28/07/1994,Attack,Right,187,630000,1800000
58112,2017,Omar Ramos,Spain,Spain,26/01/1988,Attack,Left,176,45000,1800000
482179,2017,Alex Mozo,Spain,Spain,01/04/1995,Midfield,,172,,
398159,2017,Jaime Sierra,Spain,Spain,18/03/1998,Midfield,Right,175,180000,180000
511023,2017,Dani Gallardo,Spain,Spain,07/04/1996,Defender,,0,180000,180000
55240,2017,Mauro Dos Santos,Argentina,Argentina,07/07/1989,Defender,Right,188,405000,3600000
19958,2017,Nereo Champagne,Argentina,Argentina,20/01/1985,Goalkeeper,Right,188,45000,540000
457107,2017,Angel Lopez,Spain,Spain,07/02/1997,Attack,Left,172,135000,180000
510990,2017,Julen Azkue,Spain,Spain,21/09/1995,Midfield,Left,187,270000,270000
289287,2017,Imanol Sarriegi,Spain,Spain,27/04/1995,Midfield,Right,180,135000,270000
63689,2017,Fran Rico,Spain,Spain,03/08/1987,Midfield,Right,178,,2700000
354359,2017,Julen Lopez,Spain,Spain,20/07/1995,Defender,Left,187,135000,270000
63723,2017,David Lomban,Spain,Spain,05/06/1987,Defender,Right,185,180000,2700000
324366,2017,Myles Beerman,Malta,Malta,13/03/1999,Defender,Left,177,180000,225000
297277,2017,Aidan Wilson,Hongkong,Scotland,02/01/1999,Defender,Left,181,68000,68000
103819,2017,Danny Wilson,Scotland,Scotland,27/12/1991,Defender,Left,187,720000,1800000
67303,2017,Russell Martin,England,Scotland,04/01/1986,Defender,Right,183,,2700000
331057,2017,Luis Orejuela,Colombia,Colombia,20/08/1995,Defender,Right,180,1080000,1530000
278938,2017,Norbert Alblas,Netherlands,Netherlands,12/12/1994,Goalkeeper,Right,186,248000,270000
